date,regime,market_return,standardized_market_return
2013-01-02,0,0.013359009798488641,2.182280636415811
2013-01-03,0,0.00019497674765749372,-0.008284055698562045
2013-01-04,0,0.0021977175073150113,0.32498259431847676
2013-01-07,0,-0.001129487273032137,-0.2286818706003837
2013-01-08,0,-0.002046822594340969,-0.3813313176147732
2013-01-09,0,0.002493643686102964,0.37422627490041566
2013-01-10,0,0.002737049240559086,0.4147302459400841
2013-01-11,0,2.2544353055931056e-06,-0.04035406731206649
2013-01-14,0,0.0009664837045275876,0.12009878054276213
2013-01-15,0,0.0013766343460651642,0.18835001558076192
2013-01-16,0,-0.0012786605159787023,-0.2535050868400538
2013-01-17,0,0.003193872745051796,0.4907480921127279
2013-01-18,0,0.0022876356288606845,0.33994544510125907
2013-01-21,0,-5.870267071828028e-05,-0.050497652007862937
2013-01-22,0,0.0028816151803443325,0.43878678257692416
2013-01-23,0,-0.000386544157389368,-0.10505220854375881
2013-01-24,0,0.0012589718433157148,0.1687703530933238
2013-01-25,0,0.0026828929214860906,0.40571834814568486
2013-01-28,0,-0.0012777783324946501,-0.2533582868445912
2013-01-29,0,0.002125098925025015,0.3128984783228987
2013-01-30,0,-0.003370341285869649,-0.6015718247466729
2013-01-31,0,-0.0008931362110620955,-0.18935180440439978
2013-02-01,0,0.004452794728927167,0.7002393655967194
2013-02-04,0,-0.005323822145964852,-0.9266413670611074
2013-02-05,0,0.0015820774310880026,0.2225368310158437
2013-02-06,0,0.0014211583643569225,0.19575904760342328
2013-02-07,0,-0.002098568328110284,-0.38994208127093516
2013-02-08,0,0.0036101265061459498,0.5600149185094525
2013-02-11,0,-0.0006701523529708764,-0.15224611160038284
2013-02-12,0,0.0024376459101687065,0.3649079489493294
2013-02-13,0,0.0010886258656766623,0.14042388186988267
2013-02-14,0,0.0001902645041247597,-0.009068197933969128
2013-02-15,0,-0.0006184241104791544,-0.14363825858528104
2013-02-18,0,0.00013502435199500563,-0.018260451278761948
2013-02-19,0,0.004006510209032699,0.6259752621762016
2013-02-20,0,-0.005095026802569935,-0.888568612379787
2013-02-21,0,-0.006864915290629947,-1.1830874134153986
