date,regime,market_return,standardized_market_return
2001-01-02,0,-0.01097646599741815,-1.608461517038251
2001-01-03,0,0.014492189639116138,2.0254362278111633
2001-01-04,0,0.0019044171310525603,0.22939803943844378
2001-01-05,0,-0.007718087814538688,-1.1435522850940616
2001-01-08,0,-0.001024267057857231,-0.18847006562906177
2001-01-09,0,0.0012554233049712593,0.13679883692557196
2001-01-10,0,0.0034579621160896632,0.4510596653292974
2001-01-11,0,0.005626085279035131,0.7604100285687855
2001-01-12,0,0.0008126477287507372,0.07362309687614137
2001-01-15,0,0.0001718373315008348,-0.01780848438494765
2001-01-16,0,0.0029475155652434635,0.3782285510193087
2001-01-17,0,0.00414328335363483,0.5488421056415524
2001-01-18,0,0.0054613742870436525,0.7369088704828775
2001-01-19,0,-0.0016608652679661162,-0.27930064707409963
2001-01-22,0,0.0015172064048649236,0.1741503575523091
2001-01-23,0,0.007338366074574221,1.0047202666220558
2001-01-24,0,0.000355260728222806,0.008362581619197826
2001-01-25,0,-0.00019634733106045356,-0.07034150513262903
2001-01-26,0,-0.00032579002902621834,-0.08881054154106291
2001-01-29,0,0.004612119399424952,0.6157361841439495
2001-01-30,0,0.004137418120310632,0.5480052472516166
2001-01-31,0,0.0036539148724431094,0.4790184351038732
2001-02-01,0,0.0014151705869551612,0.15959176702881625
2001-02-02,0,-0.006975192586381596,-1.037555120077353
2001-02-05,0,-0.0015964224778240888,-0.27010587397296304
2001-02-06,0,0.0006159561840978989,0.045558915917975985
2001-02-07,0,-0.0036223372467853896,-0.5591657762798988
2001-02-08,0,-0.0024172831319228204,-0.3872272376732932
2001-02-09,0,-0.003723525103145886,-0.5736033786520903
2001-02-12,0,0.004651400745384404,0.6213408927918587
2001-02-13,0,-0.0019006973875850598,-0.31352017601443166
2001-02-14,0,-0.00114032855214673,-0.2050298561567354
2001-02-15,0,0.003933968552219913,0.5189768235599116
2001-02-16,0,-0.006691540217327064,-0.9970832664020516
2001-02-19,0,-0.0010725019886994036,-0.19535228230008625
2001-02-20,0,-0.0070731653055935316,-1.0515339828992412
2001-02-21,0,-0.010092110205867666,-1.482280592437351
2001-02-22,0,-0.005212365784722517,-0.7860329184139151
2001-02-23,0,-0.0013129734642991387,-0.2296630353038282
2001-02-26,0,0.00923346451007312,1.2751151405920984
2001-02-27,0,-0.002684293151616446,-0.4253245413654836
2001-02-28,0,-0.002473324876194882,-0.39522333966760265
2001-03-01,0,0.0010464437890256527,0.1069813937690866
2001-03-02,0,-0.00029837260170757497,-0.0848985907602816
2001-03-05,0,0.0021548940230200265,0.26513637701884557
2001-03-06,0,0.005663667437534148,0.7657722951510955
2001-03-07,0,0.0037766136246561778,0.496525237399449
2001-03-08,0,-0.00015066138281111252,-0.06382298029630286
2001-03-09,0,-0.008177346410281682,-1.2090798417578366
2001-03-12,0,-0.01776071436768987,-2.5764460547797756
2001-03-13,0,-0.0011215476219921584,-0.2023501709503843
2001-03-14,0,-0.00995435885758078,-1.4626260680276835
2001-03-15,0,0.0006950748272607666,0.056847656991245055
2001-03-16,0,-0.010473279842927685,-1.5366663246206598
2001-03-19,0,0.004201170556562395,0.5571015198476311
2001-03-20,0,-0.004475659561178957,-0.6809188078555549
2001-03-21,0,-0.007052745357654777,-1.048620440707476
2001-03-22,0,-0.011346728969264664,-1.6612910733994513
2001-03-23,0,0.008868023119369083,1.222973533099904
2001-03-26,0,0.011788760924465558,1.6397078387776416
2001-03-27,0,0.006181042840704243,0.8395920262610255
2001-03-28,0,-0.009014739584977349,-1.3285600849440435
2001-03-29,0,-0.004481095715634697,-0.6816944447678162
2001-03-30,0,0.005374606377015534,0.7245287230154871
2001-04-02,0,-0.007343619977775617,-1.0901227736604093
2001-04-03,0,-0.014338065951639455,-2.088098552736653
2001-04-04,0,-0.0002852478475017572,-0.08302593539162494
2001-04-05,0,0.01698204670866177,2.38069196329805
2001-04-06,0,-0.005625353339031492,-0.8449584684575324
2001-04-09,0,0.003929597701509713,0.5183531854391744
2001-04-10,0,0.009302945985154354,1.2850288391873363
2001-04-11,0,-0.0013732144060085271,-0.2382582837279865
2001-04-12,0,0.005562995614174493,0.7514083209744706
2001-04-13,0,2.0517540582232207e-05,-0.03939897014978723
2001-04-16,0,-0.0045819282976865775,-0.6960813561837471
2001-04-17,0,0.004162510165041588,0.551585409709453
2001-04-18,0,0.016908742555986588,2.3702328405671147
2001-04-19,0,0.004476336404231373,0.596362506668997
2001-04-20,0,-0.006367837292296652,-0.9508969522888798
2001-04-23,0,-0.007101228064194487,-1.055538010306482
2001-04-24,0,-0.0002468513514867432,-0.077547478174632
2001-04-25,0,0.006067625499455576,0.8234095065995193
2001-04-26,0,0.007870241126433175,1.0806088246627632
2001-04-27,0,0.006288912759640608,0.8549830331816125
2001-04-30,0,0.0023950933104302297,0.29940829389153173
2001-05-01,0,0.004728989038813536,0.632411281764977
2001-05-02,0,0.0014107049380625014,0.1589546029918952
2001-05-03,0,-0.004051246568702404,-0.6203630628545123
2001-05-04,0,0.004997415667239347,0.670710708857424
2001-05-07,0,-0.0006589533924963642,-0.1363466821390735
2001-05-08,0,-0.0010974758048144183,-0.19891557575992846
