seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_draw,n_features,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,0,106,0,10,False,2.9075309238278986,13.237861936664444,-0.02343638781864177,-0.010233875155992686,-0.011893492273440257,0.3102476662373041,0.10670485520712837,60,ok,0.9999990892575238,0.9999981785162266
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,0,252,0,10,False,4.76957299108361,10.173194291720668,-0.048253995565390895,-0.0068544491950077455,-0.013765799225080554,0.49089727223854907,0.10292268787085299,60,ok,0.999999765970365,0.9999995319407925
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,1,106,1,20,False,5.661448411822573,34.02995231181187,-0.011512622447874099,-0.005346135577417293,-0.006883077246068432,0.39177399288505044,0.06920031136677404,60,ok,0.9999999970933784,0.9999999941867568
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,1,252,1,20,False,-0.09713940902705125,-0.1464236263984056,-0.07235864604283848,-0.012516220905878608,-0.017802912599405158,-0.01059501535487105,0.10907020601618614,60,ok,0.9999999879853622,0.9999999759707244
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,5,106,5,60,False,5.6614484123752105,34.02995232692851,-0.011512622449007082,-0.0053461355792893675,-0.006883077249482666,0.39177399309763794,0.06920031139756914,60,ok,0.9999999981715931,0.9999999963431863
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,5,252,5,60,False,-0.09713943686306002,-0.146423667578567,-0.07235864712250106,-0.012516221046173665,-0.0178029127990156,-0.01059501849269993,0.10907020706364609,60,ok,0.999999999146039,0.999999998292078
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,20,106,20,210,False,3.3580842033049105,15.080738582095094,-0.01555087004284017,-0.006757430579673871,-0.008445850171014147,0.23451860584020653,0.0698370236247803,60,ok,0.6091761969141815,0.5238388838527717
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,20,252,20,210,False,6.988252027307697,41.20108457430262,-0.010470628145886285,-0.003705492293630044,-0.004772528744593256,0.4314012357847342,0.061732352253319696,60,ok,0.9999999999517042,0.9999999999034084
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,0,504,0,10,False,-0.7442743230604723,-1.5699816245096183,-0.10096536736009776,-0.02246571034687441,-0.03449755171432004,-0.15851377146721668,0.21297761666075568,60,ok,0.9999994530199859,0.9999989060403452
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,mixed,0,252,0,10,False,-1.8124881186361967,-2.7242631425538324,-0.10196813888599521,-0.017533806730154585,-0.022281082992679876,-0.27778804248192696,0.15326337294334821,60,ok,0.9999996100090748,0.9999992200183245
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,1,504,1,20,False,-0.9743679771946071,-1.8106101418970844,-0.0984203520450675,-0.022038172124209207,-0.02806989581892839,-0.17820088758188066,0.18288869477725994,60,ok,0.9999999982038552,0.9999999964077104
