seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_synth_rows,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,0,106,0,False,5.766598146032525,24.826537488117697,-0.014928016650695208,-0.005205043054976418,-0.005562266166360135,0.3706109650017298,0.06426856105045464,60,ok,0.29999998473581735,0.27999979421078863
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,0,252,0,False,5.859821005847129,24.186253209155414,-0.0169080106802032,-0.004532254706503782,-0.005904714152961493,0.40894142757449864,0.06978735820879904,60,ok,0.29999995315348127,0.27999851364171446
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,1,127,21,False,5.457419405987177,24.547874104679824,-0.014774620411759809,-0.005235317094020311,-0.006198865388955879,0.36268552181231256,0.06645732989009802,60,ok,0.2999999989679041,0.2799999952638017
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,1,273,21,False,7.204258342557805,32.311079497955966,-0.013324677127537266,-0.003736780225157255,-0.0053176108858991634,0.43053470195245214,0.059761141463951846,60,ok,0.2999999740045265,0.27999991830331794
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,5,211,105,False,5.4263898165298405,27.703653113678428,-0.01386751249031326,-0.005279971996843418,-0.006473570593084792,0.38418075558124143,0.07079859143383913,60,ok,0.2999999969678639,0.275258480482901
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,5,357,105,False,5.57143283058056,20.277705337953282,-0.01943951125704757,-0.004804689945107056,-0.006425571400383694,0.39418868118423644,0.07075176048441399,60,ok,0.29999997965116043,0.27999959562133586
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,regime,20,526,420,False,4.3475640981449155,22.624769438790153,-0.013780613855092105,-0.006275118108208386,-0.007273352712871911,0.311783211196456,0.0717144599039937,60,ok,0.29999999246972414,0.26296396949209516
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,True,stress,mixed,20,672,420,False,5.571428757896954,20.27769347768207,-0.01943952147104744,-0.004804690674375835,-0.0064255736439326125,0.3941886577427192,0.0707518079961079,60,ok,0.299999997284104,0.2799999906834104
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,0,504,0,False,-1.214410286811701,-1.9973431548308607,-0.08965768824024034,-0.017891082919993407,-0.024200427446499754,-0.1790771698846034,0.14746018856176735,60,ok,0.29999997093014924,0.27999937714263656
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,mixed,0,252,0,False,-1.5205937566872125,-2.2680809500135215,-0.09112701924519295,-0.01689457612030108,-0.02148763571304003,-0.20668345638153768,0.1359228626795241,60,ok,0.29999995944352464,0.27999930756851793
