seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_synth_rows,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,regime,0,106,0,False,5.766598146032525,24.826537488117697,-0.014928016650695208,-0.005205043054976418,-0.005562266166360135,0.3706109650017298,0.06426856105045464,60,ok,0.29999998473581735,0.27999979421078863
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,mixed,0,252,0,False,5.859821005847129,24.186253209155414,-0.0169080106802032,-0.004532254706503782,-0.005904714152961493,0.40894142757449864,0.06978735820879904,60,ok,0.29999995315348127,0.27999851364171446
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,regime,5,211,105,False,4.720588858227218,25.143355897691187,-0.013481389085095663,-0.006440419584074336,-0.006874422569081316,0.33896736376180964,0.07180616104091436,60,ok,0.2999999993261298,0.27999999767901984
42,2017-11-01,2018-01-23,0,0,1,0.3310978956531708,low,calm,106,106,False,random,mixed,5,357,105,False,5.833884920343078,19.548146889033035,-0.020074667091062093,-0.005211696546766776,-0.0062065104756311605,0.3924225410445193,0.06726607507736747,60,ok,0.2999999835116565,0.2799998244680556
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,regime,0,504,0,False,-1.214410286811701,-1.9973431548308607,-0.08965768824024034,-0.017891082919993407,-0.024200427446499754,-0.1790771698846034,0.14746018856176735,60,ok,0.29999997093014924,0.27999937714263656
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,mixed,0,252,0,False,-1.5205937566872125,-2.2680809500135215,-0.09112701924519295,-0.01689457612030108,-0.02148763571304003,-0.20668345638153768,0.1359228626795241,60,ok,0.29999995944352464,0.27999930756851793
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,regime,5,609,105,False,-0.7085994571813408,-1.3885570138093282,-0.09443253461643686,-0.020878285146660746,-0.029519401444427967,-0.13112495827344559,0.1850480648052329,60,ok,0.2999999733588293,0.2782787072659203
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,False,random,mixed,5,357,105,False,-0.9582341715525536,-1.7023319085470878,-0.091440363375348,-0.019443482783623473,-0.02545724915315369,-0.1556618483029954,0.16244656361063436,60,ok,0.29999998981221826,0.2799999578716126
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,regime,0,220,0,False,2.51801867996794,7.540958573252153,-0.021421282773037786,-0.0060155746783448275,-0.00847303411707036,0.16153700597739795,0.06415242558067707,60,ok,0.2999999974163202,0.27999998955849825
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,mixed,0,252,0,False,1.8274558280742235,4.793341792627135,-0.03361924682183093,-0.008434028425995454,-0.011986088472206393,0.16114854082772917,0.08818190751978276,60,ok,0.29999980134151133,0.2799995530831913
