bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
REGIME_VOL,-1.812488118636197,-2.66750087385078,-0.054242214090216456,-0.009132814710477052,-0.011605523298654085,-0.1446911534852535,0.07983012522814553,60,mixed,0,0,low,2018-01-24
VOL_SCALE_1.8x,-1.8124881186361965,-2.8215366672438615,-0.17721494895754708,-0.031560852114278254,-0.040105949386823776,-0.5000184764674684,0.2758740712980268,60,mixed,0,0,low,2018-01-24
NEG_SHOCK_-10%,-2.868724722152328,-3.6481481022477094,-0.19127185161479698,-0.01897597300830355,-0.04745243947651526,-0.697788042481927,0.24323980516276072,60,mixed,0,0,low,2018-01-24
CORR_INFLATE_1.3,-1.814393646354214,-2.612409922356484,-0.09175211063208899,-0.014641406014349732,-0.019224034501219938,-0.23969412421241915,0.1321070125515778,60,mixed,0,0,low,2018-01-24
WHIPSAW,-2.91395235316247,-3.639728652787464,-0.1346559094663392,-0.020653996280098258,-0.024972625646958447,-0.49011097195178954,0.16819457305809385,60,mixed,0,0,low,2018-01-24
SLOW_BLEED,-2.875717288606011,-3.6625007711446154,-0.12150536910621645,-0.018276725983529495,-0.023758790691377183,-0.4450135080497289,0.15474869863353186,60,mixed,0,0,low,2018-01-24
CRASH_2008,-1.6287407679432373,-5.925176998169671,-0.9793252010749635,-0.3672768687896056,-0.4955827068124405,-5.802675155137261,3.5626756997461544,60,mixed,0,0,low,2018-01-24
BASE,1.40801496128714,3.4137508197372664,-0.0038733466369332836,-0.0006631117600414253,-0.0011435025891399846,0.013222640256957581,0.009390979940206087,60,regime,0,3,high,2018-04-18
REGIME_VOL,1.4080149612871402,3.416575271135137,-0.006432886639580526,-0.0011022127719061943,-0.0019007100075847773,0.021978441414806437,0.01560952263938644,60,regime,0,3,high,2018-04-18
VOL_SCALE_1.8x,1.4080149612871402,3.4171635602140134,-0.0069650609469313896,-0.0011936011680745656,-0.0020583046604519726,0.023800752462523653,0.01690376389237096,60,regime,0,3,high,2018-04-18
NEG_SHOCK_-10%,-1.996378267111648,-4.0461322404778155,-0.10053486529026678,-0.0007310700210771329,-0.034272154764075476,-0.4067773597430425,0.20375765777673305,60,regime,0,3,high,2018-04-18
CORR_INFLATE_1.3,2.086665922094283,5.8645929471808085,-0.0042131647689390705,-0.0013014132143847226,-0.0016357623077512661,0.024708496389230734,0.011841136680102601,60,regime,0,3,high,2018-04-18
WHIPSAW,-2.5479905995870316,-2.267850668093141,-0.08779250416003492,-0.01258453120570905,-0.017487569900050844,-0.19910028921290507,0.07814011921597142,60,regime,0,3,high,2018-04-18
SLOW_BLEED,-5.9711133641866105,-3.874031615971106,-0.039752598991694144,-0.0020652718140217537,-0.0025664827738190064,-0.15400282531084422,0.025791308239853292,60,regime,0,3,high,2018-04-18
CRASH_2008,-1.5207855968755337,-5.576450366681915,-0.9787695571277677,-0.37110736802504435,-0.498006329301336,-5.458059855742236,3.58897392699922,60,regime,0,3,high,2018-04-18
BASE,-2.0295885736313406,-2.533296468834017,-0.11007007587077111,-0.014245686216575293,-0.016406745961732153,-0.2788401345277168,0.13738751693345216,60,mixed,0,3,high,2018-04-18
REGIME_VOL,-2.0295885736313397,-2.6061886804996526,-0.1778394630775807,-0.023678930519187916,-0.02727100623778991,-0.4634831956189267,0.22836312819285468,60,mixed,0,3,high,2018-04-18
VOL_SCALE_1.8x,-2.0295885736313397,-2.6217154848120807,-0.19144420706881782,-0.02564223518983553,-0.029532142731117882,-0.50191224214989,0.2472975304802139,60,mixed,0,3,high,2018-04-18
NEG_SHOCK_-10%,-2.653061275390261,-3.4915768221930668,-0.2001502960169078,-0.014551727081444405,-0.04893651356993257,-0.6988401345277166,0.26340896872987546,60,mixed,0,3,high,2018-04-18
CORR_INFLATE_1.3,-1.7570105296004808,-2.328093053738197,-0.08588796577567681,-0.012368535419905107,-0.013965452080119142,-0.1999551765220572,0.11380419932231377,60,mixed,0,3,high,2018-04-18
WHIPSAW,-2.9538088998805985,-2.7948913666698707,-0.175736012445737,-0.01491076427771669,-0.0274613759658992,-0.4911630639975793,0.16628125943334846,60,mixed,0,3,high,2018-04-18
SLOW_BLEED,-3.1041748160286273,-3.102617928083755,-0.14377071571007727,-0.015170374026547046,-0.01720524376966771,-0.44606560009551854,0.1436986080140291,60,mixed,0,3,high,2018-04-18
CRASH_2008,-1.5581107919960813,-5.7568689361826495,-0.9802926308713358,-0.3786141495954811,-0.5010977373020197,-5.643416195031958,3.621960789965539,60,mixed,0,3,high,2018-04-18
BASE,3.145115323250335,13.844382126852553,-0.01518859720452248,-0.0065761312261568,-0.007110024047401094,0.21027674367025367,0.06685819820843394,60,regime,0,0,low,2018-07-11
