date,method,n_synth_series,prefer_stress,ranking,port_ret,predicted_regime,vol_bucket,bucket
2017-11-29,mixed,0,True,stress,-0.004387445881853336,0,low,calm
2017-11-30,mixed,0,True,stress,-0.01801142270240064,0,low,calm
2017-12-01,mixed,0,True,stress,-0.0043266992237855455,0,low,calm
2017-12-04,mixed,0,True,stress,0.005446839164690662,0,low,calm
2017-12-05,mixed,0,True,stress,-0.0037861800667213117,0,low,calm
2017-12-06,mixed,0,True,stress,-0.01471824107740772,0,low,calm
2017-12-07,mixed,0,True,stress,-0.000580217987463548,0,low,calm
2017-12-08,mixed,0,True,stress,0.009303048600526435,0,low,calm
2017-12-11,mixed,0,True,stress,0.008279335349857557,0,low,calm
2017-12-12,mixed,0,True,stress,-0.00676427631603798,0,low,calm
2017-12-13,mixed,0,True,stress,0.005799699178152372,0,low,calm
2017-12-14,mixed,0,True,stress,0.002170801705239598,0,low,calm
2017-12-15,mixed,0,True,stress,-0.0023725836509511907,0,low,calm
2017-12-18,mixed,0,True,stress,0.01064331491227126,0,low,calm
2017-12-19,mixed,0,True,stress,0.0017486391671489875,0,low,calm
2017-12-20,mixed,0,True,stress,0.0005995541774078651,0,low,calm
2017-12-21,mixed,0,True,stress,0.0015696952731778346,0,low,calm
2017-12-22,mixed,0,True,stress,0.006027675325307992,0,low,calm
2017-12-25,mixed,0,True,stress,1.559796927648735e-05,0,low,calm
2017-12-26,mixed,0,True,stress,-0.0019809077470772417,0,low,calm
2017-12-27,mixed,0,True,stress,0.0063257002243570755,0,low,calm
2017-12-28,mixed,0,True,stress,0.0080389333817672,0,low,calm
2017-12-29,mixed,0,True,stress,0.004231027838959803,0,low,calm
2018-01-01,mixed,0,True,stress,-0.0007843421178632661,0,low,calm
2018-01-02,mixed,0,True,stress,0.01776614830873225,0,low,calm
2018-01-03,mixed,0,True,stress,0.005319589636648852,0,low,calm
2018-01-04,mixed,0,True,stress,0.00704337553977078,0,low,calm
2018-01-05,mixed,0,True,stress,0.007105870146420878,0,low,calm
2018-01-08,mixed,0,True,stress,0.004902948087000618,0,low,calm
2018-01-09,mixed,0,True,stress,-0.0014300278063184603,0,low,calm
2018-01-10,mixed,0,True,stress,-0.006273855190344386,0,low,calm
2018-01-11,mixed,0,True,stress,-0.00043214842588026696,0,low,calm
2018-01-12,mixed,0,True,stress,0.009327705918479565,0,low,calm
2018-01-15,mixed,0,True,stress,0.00204611015609826,0,low,calm
2018-01-16,mixed,0,True,stress,0.00596985140138348,0,low,calm
2018-01-17,mixed,0,True,stress,0.003902787804301964,0,low,calm
2018-01-18,mixed,0,True,stress,0.004020228496232514,0,low,calm
2018-01-19,mixed,0,True,stress,0.004141644765594419,0,low,calm
2018-01-22,mixed,0,True,stress,0.004811088140251907,0,low,calm
2018-01-23,mixed,0,True,stress,0.011213366212108217,0,low,calm
2017-11-01,regime,1,True,stress,-0.0009253806648572395,0,low,calm
2017-11-02,regime,1,True,stress,8.420344019529664e-05,0,low,calm
2017-11-03,regime,1,True,stress,0.002388114527654789,0,low,calm
2017-11-06,regime,1,True,stress,0.0037569010088039853,0,low,calm
2017-11-07,regime,1,True,stress,-0.0031951069203213934,0,low,calm
2017-11-08,regime,1,True,stress,0.001907945445187193,0,low,calm
2017-11-09,regime,1,True,stress,-0.004204721165843343,0,low,calm
2017-11-10,regime,1,True,stress,0.00046661413698671425,0,low,calm
2017-11-13,regime,1,True,stress,0.0019496903361687797,0,low,calm
2017-11-14,regime,1,True,stress,-2.2892904311158102e-05,0,low,calm
2017-11-15,regime,1,True,stress,-0.005311274244189166,0,low,calm
2017-11-16,regime,1,True,stress,0.008669234191401243,0,low,calm
2017-11-17,regime,1,True,stress,0.002722930417695908,0,low,calm
2017-11-20,regime,1,True,stress,0.0024728067096819136,0,low,calm
2017-11-21,regime,1,True,stress,0.004434019375709046,0,low,calm
2017-11-22,regime,1,True,stress,-0.0002109291398630582,0,low,calm
2017-11-23,regime,1,True,stress,2.4703029280439077e-13,0,low,calm
2017-11-24,regime,1,True,stress,0.001333654817356779,0,low,calm
2017-11-27,regime,1,True,stress,-0.0023251439110520567,0,low,calm
2017-11-28,regime,1,True,stress,0.01041588099772648,0,low,calm
2017-11-29,regime,1,True,stress,0.00200049265445395,0,low,calm
2017-11-30,regime,1,True,stress,0.006861101778682307,0,low,calm
2017-12-01,regime,1,True,stress,-0.002123472136201048,0,low,calm
2017-12-04,regime,1,True,stress,-0.00011121903538837309,0,low,calm
2017-12-05,regime,1,True,stress,-0.006696130623492421,0,low,calm
2017-12-06,regime,1,True,stress,-0.002620361179379446,0,low,calm
2017-12-07,regime,1,True,stress,0.006721556874071143,0,low,calm
2017-12-08,regime,1,True,stress,0.005821647896841449,0,low,calm
2017-12-11,regime,1,True,stress,-3.696010105094251e-05,0,low,calm
2017-12-12,regime,1,True,stress,-0.0024542416930644125,0,low,calm
2017-12-13,regime,1,True,stress,-0.0010004149761499057,0,low,calm
