bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,used_synth_fill,test_start
BASE,2.51801867996794,7.540958573252153,-0.021421282773037786,-0.0060155746783448275,-0.00847303411707036,0.16153700597739795,0.06415242558067707,60,regime,0,3,high,False,2018-04-18
REGIME_VOL,2.518018679967939,7.569845137348495,-0.035470208665450254,-0.009998983037810933,-0.014083729144011035,0.26850398658689506,0.10663303998615048,60,regime,0,3,high,False,2018-04-18
VOL_SCALE_1.8x,2.518018679967939,7.5758870703113725,-0.038380536570929324,-0.010828034421020687,-0.01525146141072665,0.29076661075931626,0.11547436604521874,60,regime,0,3,high,False,2018-04-18
NEG_SHOCK_-10%,-1.2063031752695104,-2.219338798910909,-0.11645945817260384,-0.006741079707065023,-0.039571598655674674,-0.25846299402260187,0.21426039433648716,60,regime,0,3,high,False,2018-04-18
CORR_INFLATE_1.3,2.3475890219028956,7.184643356788708,-0.019318491277537264,-0.005245822801073789,-0.007722226341671847,0.1387964700203387,0.05912298478369687,60,regime,0,3,high,False,2018-04-18
WHIPSAW,-0.4991276651245483,-0.579627623455486,-0.08761819043354291,-0.01336741863866894,-0.01845199054472491,-0.05078592349246468,0.10174936602600854,60,regime,0,3,high,False,2018-04-18
SLOW_BLEED,-0.08356702955326706,-0.16781459623271103,-0.03389728735226083,-0.006913095418891099,-0.009461324644239226,-0.005688459590403833,0.0680706209232663,60,regime,0,3,high,False,2018-04-18
CRASH_2008,-1.4819240002471015,-5.443810311433498,-0.9784579341345364,-0.37473167603287705,-0.4962546123051423,-5.3265393911455075,3.5943404589286234,60,regime,0,3,high,False,2018-04-18
BASE,1.8274558280742235,4.793341792627135,-0.03361924682183093,-0.008434028425995454,-0.011986088472206393,0.16114854082772917,0.08818190751978276,60,mixed,0,3,high,False,2018-04-18
REGIME_VOL,1.827455828074224,4.823787790358606,-0.05552862154165683,-0.01401889456638704,-0.019923066661399837,0.26785828660808814,0.14657442466905354,60,mixed,0,3,high,False,2018-04-18
VOL_SCALE_1.8x,1.8274558280742232,4.8301773239727614,-0.060053152096564366,-0.015181251166791816,-0.02157495924997151,0.2900673734899125,0.15872743353560897,60,mixed,0,3,high,False,2018-04-18
NEG_SHOCK_-10%,-1.1526607118719634,-2.0784626898661327,-0.1245398632529423,-0.009254733625186156,-0.042613091973416985,-0.2588514591722708,0.22456864930521192,60,mixed,0,3,high,False,2018-04-18
CORR_INFLATE_1.3,1.7722770818506586,4.616416951856671,-0.030001113876582886,-0.007196174612750874,-0.010424575845622642,0.13849765067443964,0.07814672552771307,60,mixed,0,3,high,False,2018-04-18
WHIPSAW,-0.4268510823234412,-0.5468835188473211,-0.09357456730456026,-0.014635895853045333,-0.01956584193832966,-0.0511743886421334,0.11988815481872585,60,mixed,0,3,high,False,2018-04-18
SLOW_BLEED,-0.06633530314316646,-0.12920812282542282,-0.04703206429431184,-0.009493248417205025,-0.01297437899937526,-0.0060769247400726265,0.091609210362049,60,mixed,0,3,high,False,2018-04-18
CRASH_2008,-1.4780673905590214,-5.4364047328705,-0.9785813033287161,-0.3763993808046027,-0.496162136567492,-5.319964028914814,3.5992702788082926,60,mixed,0,3,high,False,2018-04-18
BASE,0.810119203413424,3.2046239278585933,-0.017864418194181608,-0.006765349777958769,-0.009154965704046118,0.05724874200234678,0.07066705956497531,60,regime,0,0,low,False,2018-07-11
REGIME_VOL,0.8101192034134248,3.204663775659372,-0.019528225042749314,-0.007395534201239723,-0.010007740057436897,0.06258139539742291,0.07724961355531035,60,regime,0,0,low,False,2018-07-11
VOL_SCALE_1.8x,0.8101192034134245,3.205149539899872,-0.03215067949916728,-0.012177629600325783,-0.016478938267283014,0.10304773560422424,0.12720070721695553,60,regime,0,0,low,False,2018-07-11
NEG_SHOCK_-10%,-1.7234751413919789,-3.40944339402511,-0.10639603479950943,-0.007647713737769888,-0.039112493760859915,-0.3627512579976531,0.21047664064633628,60,regime,0,0,low,False,2018-07-11
CORR_INFLATE_1.3,0.7310991595605713,2.789934025113063,-0.016595048134836476,-0.006362897704208205,-0.008069373376543922,0.046299089439769354,0.06332805726051925,60,regime,0,0,low,False,2018-07-11
WHIPSAW,-1.5216481742428796,-1.633851048822959,-0.09491329554137307,-0.01300831168253713,-0.0180249748179424,-0.15507418746751586,0.10191198602441431,60,regime,0,0,low,False,2018-07-11
SLOW_BLEED,-1.4042779446196652,-2.7956603132769584,-0.03933837134760654,-0.008253799558989078,-0.00942131798582131,-0.10997672356545501,0.07831549586520149,60,regime,0,0,low,False,2018-07-11
CRASH_2008,-1.5115439306041083,-5.5462081951824524,-0.9782406797044343,-0.3698286727882947,-0.49831142507256193,-5.425526474637586,3.5893938408189063,60,regime,0,0,low,False,2018-07-11
BASE,0.7612124245250826,2.6593202719564433,-0.020563057655545114,-0.0067502904721421664,-0.008788793272633325,0.054683756076800254,0.0718377082598425,60,mixed,0,0,low,False,2018-07-11
REGIME_VOL,0.7612124245250824,2.659788567034736,-0.022474524769449333,-0.007379072138690282,-0.009607459092085024,0.05977748403132032,0.07852930680764345,60,mixed,0,0,low,False,2018-07-11
VOL_SCALE_1.8x,0.7612124245250824,2.6634927927417866,-0.03695551991222634,-0.012150522849855898,-0.015819827890739987,0.09843076093824045,0.1293078748677165,60,mixed,0,0,low,False,2018-07-11
NEG_SHOCK_-10%,-1.7247585672695918,-3.355815914297659,-0.10886063277986957,-0.006931324030858743,-0.03912455033189096,-0.3653162439231997,0.21180717745412905,60,mixed,0,0,low,False,2018-07-11
CORR_INFLATE_1.3,0.6922735325228249,2.3738425476850713,-0.018672688880069566,-0.005784633577081476,-0.007754608926634027,0.04432602334319504,0.0640296375070985,60,mixed,0,0,low,False,2018-07-11
WHIPSAW,-1.542079500851706,-1.710694128396087,-0.09214924560526883,-0.012246928497114916,-0.01804880180715761,-0.1576391733930623,0.10222506252498435,60,mixed,0,0,low,False,2018-07-11
SLOW_BLEED,-1.4165891441278549,-2.6805670518598275,-0.041984291873213175,-0.008224768331949019,-0.008594026545289245,-0.11254170949100156,0.07944555410262559,60,mixed,0,0,low,False,2018-07-11
CRASH_2008,-1.5125303484149106,-5.548548406214267,-0.978246372751897,-0.3697699171436133,-0.4984166967489065,-5.427847352417426,3.588587401307787,60,mixed,0,0,low,False,2018-07-11
BASE,-4.626064829320394,-4.521558742573476,-0.2030957144743638,-0.022310036864570636,-0.030496360366314163,-0.9183092033607663,0.1985076381853631,60,regime,0,0,low,False,2018-10-03
REGIME_VOL,-4.626064829320392,-4.316684309064814,-0.10157878680856036,-0.010652821777360738,-0.014561710220946544,-0.4384835551503525,0.09478543239844078,60,regime,0,0,low,False,2018-10-03
VOL_SCALE_1.8x,-4.626064829320393,-4.855825817422218,-0.340406890238677,-0.04015806635622716,-0.0548934486593655,-1.652956566049379,0.3573137487336536,60,regime,0,0,low,False,2018-10-03
NEG_SHOCK_-10%,-4.209291160521887,-4.694603008877465,-0.2850739883287323,-0.02241447714506311,-0.0638296936996475,-1.338309203360766,0.31794170379861214,60,regime,0,0,low,False,2018-10-03
CORR_INFLATE_1.3,-4.628974198872347,-4.482870811209096,-0.17987268101445097,-0.019938440947406724,-0.02622988266573244,-0.8063459914536067,0.17419539552630015,60,regime,0,0,low,False,2018-10-03
WHIPSAW,-5.9660124886526305,-4.6678280644586865,-0.24221803314466017,-0.022155431660211732,-0.02830956405731731,-1.130632132830629,0.18951219679494372,60,regime,0,0,low,False,2018-10-03
SLOW_BLEED,-5.2884728417510924,-4.636973021669097,-0.234104158867378,-0.02308241926327531,-0.03201392080372254,-1.085534668928568,0.20526429867589738,60,regime,0,0,low,False,2018-10-03
CRASH_2008,-1.776278496361532,-6.496724398082739,-0.980547969853985,-0.37346956088593364,-0.499340386739221,-6.370349919240882,3.5863463597007392,60,regime,0,0,low,False,2018-10-03
BASE,-4.387965097221741,-4.513139996625792,-0.19773599641736617,-0.026090588656264863,-0.030459827477994833,-0.8924102342038696,0.20337678500881945,60,mixed,0,0,low,False,2018-10-03
REGIME_VOL,-4.387965097221743,-4.319507012717122,-0.09864946450422185,-0.012457997837869923,-0.014544266128377776,-0.4261170537267751,0.09711040181166727,60,mixed,0,0,low,False,2018-10-03
VOL_SCALE_1.8x,-4.387965097221743,-4.829415010215271,-0.33261552758858115,-0.04696305958127675,-0.054827689460390704,-1.6063384215669656,0.36607821301587495,60,mixed,0,0,low,False,2018-10-03
NEG_SHOCK_-10%,-4.071869039535155,-4.681461855284559,-0.2803419689775718,-0.026090588656264863,-0.06379316081132817,-1.3124102342038697,0.32231150399515174,60,mixed,0,0,low,False,2018-10-03
CORR_INFLATE_1.3,-4.423776922332536,-4.478250819424464,-0.17560957150404388,-0.022817917675137293,-0.02620178044394834,-0.7864237074867636,0.17777200823953485,60,mixed,0,0,low,False,2018-10-03
WHIPSAW,-5.668797773550235,-4.658827660654618,-0.23712685768644748,-0.024927375003848482,-0.02863485955271396,-1.1047331636737325,0.19487962135962106,60,mixed,0,0,low,False,2018-10-03
SLOW_BLEED,-5.038609698595146,-4.609772428151963,-0.22986724752407672,-0.026806842282730628,-0.031977387915403194,-1.0596356997716716,0.21030319138771894,60,mixed,0,0,low,False,2018-10-03
CRASH_2008,-1.7671370701659477,-6.468195443010679,-0.9804286290953478,-0.37069156344290133,-0.499778587672675,-6.341603990911736,3.588631633603957,60,mixed,0,0,low,False,2018-10-03
BASE,8.035075845703458,59.090762769682165,-0.0023875996576910863,-0.0008770942248642685,-0.0012845167237667372,0.14108508496159833,0.01755865005767678,60,regime,0,3,high,False,2018-12-26
REGIME_VOL,8.035075845703457,59.099302738443484,-0.003116742619521329,-0.001145113261388216,-0.0016770343403958235,0.18419731562890038,0.022924153942790095,60,regime,0,3,high,False,2018-12-26
VOL_SCALE_1.8x,8.035075845703458,59.11313061151486,-0.004296053183172277,-0.0015787696047556833,-0.002312130102780127,0.253953152930877,0.031605570103818204,60,regime,0,3,high,False,2018-12-26
NEG_SHOCK_-10%,-1.3709877597753521,-2.812263627378685,-0.09917808285220353,-0.00109738087775709,-0.03397993611512432,-0.27891491503840166,0.20344084989066877,60,regime,0,3,high,False,2018-12-26
CORR_INFLATE_1.3,10.400046011563877,62.63903145062137,-0.00358417458295357,-0.0008502755170086151,-0.0009197492682443332,0.22450922442614638,0.02158732991916701,60,regime,0,3,high,False,2018-12-26
WHIPSAW,-0.9064990939888055,-0.8469029492631608,-0.08411571192454104,-0.012485692778585926,-0.016364760830845287,-0.07123784450826423,0.07858567645644439,60,regime,0,3,high,False,2018-12-26
SLOW_BLEED,-0.8492442242305961,-1.1357272092148658,-0.023016425418102338,-0.0024926890653194844,-0.0026661211254255385,-0.026140380606203467,0.03078075759642205,60,regime,0,3,high,False,2018-12-26
CRASH_2008,-1.484069267758048,-5.446033290146879,-0.9784990563250818,-0.3714722606947724,-0.4980152530318125,-5.3289384351237015,3.5907612608770054,60,regime,0,3,high,False,2018-12-26
BASE,6.608211006661772,38.56381417551938,-0.006983920063171278,-0.002670010134873737,-0.004328927673707788,0.2693265955328188,0.040756355276989384,60,mixed,0,3,high,False,2018-12-26
REGIME_VOL,6.6082110066617705,38.56381417551897,-0.009118039150298074,-0.0034859014308958676,-0.005651744528953372,0.3516263674372018,0.05321052355663667,60,mixed,0,3,high,False,2018-12-26
VOL_SCALE_1.8x,6.608211006661771,38.56381417551959,-0.012571056113708234,-0.004806018242772727,-0.007792069812674018,0.4847878719590738,0.07336143949858089,60,mixed,0,3,high,False,2018-12-26
NEG_SHOCK_-10%,-0.6756904333764541,-1.408374308757919,-0.10698392006317126,-0.002670010134873737,-0.03766226100704113,-0.15067340446718128,0.2229917681596583,60,mixed,0,3,high,False,2018-12-26
CORR_INFLATE_1.3,7.673813750807447,48.90451681708427,-0.0066079078433358696,-0.0019258328657968146,-0.0036114083528064494,0.3231565402501621,0.04211159545228202,60,mixed,0,3,high,False,2018-12-26
WHIPSAW,0.6607437199785678,0.7392666870798109,-0.07710839276165304,-0.010440695175565212,-0.01637124946576765,0.05700366606295612,0.08627197556233318,60,mixed,0,3,high,False,2018-12-26
SLOW_BLEED,2.1008744569637976,4.08480582482052,-0.024995344783494855,-0.003740720297659851,-0.005670910496793247,0.10210112996501697,0.04859934853631112,60,mixed,0,3,high,False,2018-12-26
CRASH_2008,-1.4557312539095506,-5.336415848994835,-0.9782293927388596,-0.3710071498354993,-0.497141705632866,-5.220238835364243,3.5859907667329605,60,mixed,0,3,high,False,2018-12-26
BASE,0.2332414151591906,0.4217961499720618,-0.07262726653126272,-0.01493111015437142,-0.022145137983384643,0.030633901405881396,0.13133988826544085,60,regime,0,0,low,False,2019-03-20
REGIME_VOL,0.23324141515919034,0.41894921476336866,-0.05331525491124256,-0.010886860547821698,-0.016146892397468065,0.022336384179973905,0.09576508599353604,60,regime,0,0,low,False,2019-03-20
VOL_SCALE_1.8x,0.23324141515919006,0.4303873817138896,-0.12811951482174888,-0.026875998277868553,-0.03986124837009236,0.05514102253058638,0.23641179887779357,60,regime,0,0,low,False,2019-03-20
NEG_SHOCK_-10%,-1.5598988848800706,-2.8040754373707206,-0.1388572124005384,-0.01680571868375034,-0.05144998540827931,-0.38936609859411875,0.24960983200142128,60,regime,0,0,low,False,2019-03-20
CORR_INFLATE_1.3,0.33535199154105194,0.6044601856149205,-0.06378125932041823,-0.012964555741230462,-0.019293483139728364,0.03855323184757338,0.11496347962750628,60,regime,0,0,low,False,2019-03-20
WHIPSAW,-1.17892782653437,-1.2522375261076417,-0.14509150562571738,-0.016652801399464536,-0.02360370710062103,-0.18168902806398132,0.1541137837064061,60,regime,0,0,low,False,2019-03-20
SLOW_BLEED,-0.9832435670473606,-1.4505361504660212,-0.09416625991571248,-0.016018483530335102,-0.023422669523503678,-0.1365915641619204,0.13891935705422326,60,regime,0,0,low,False,2019-03-20
CRASH_2008,-1.5006255475823223,-5.495900493955025,-0.9800397231611458,-0.3763799913498962,-0.5015238228618369,-5.386200798616888,3.58930367891888,60,regime,0,0,low,False,2019-03-20
BASE,1.01715060139007,2.311159380564455,-0.051008636739435564,-0.009689049420350879,-0.017747097580359278,0.11788908929015121,0.1159013120859785,60,mixed,0,0,low,False,2019-03-20
REGIME_VOL,1.0171506013900702,2.3030460711197525,-0.03732342991898252,-0.0070646675826331684,-0.012940107901446882,0.08595757863562611,0.0845082119778072,60,mixed,0,0,low,False,2019-03-20
VOL_SCALE_1.8x,1.0171506013900693,2.3357508898221804,-0.09084888360608812,-0.01744028895663158,-0.0319447756446467,0.212200360722272,0.2086223617547613,60,mixed,0,0,low,False,2019-03-20
NEG_SHOCK_-10%,-1.2488523360760142,-2.4921010522537492,-0.12122739181729114,-0.017333063411426777,-0.04665512147110413,-0.3021109107098488,0.24191083443788358,60,mixed,0,0,low,False,2019-03-20
CORR_INFLATE_1.3,1.025208804475299,2.245555935045729,-0.04705855039901896,-0.008819259999089247,-0.01591037513740116,0.10567260714316558,0.10307422905643962,60,mixed,0,0,low,False,2019-03-20
WHIPSAW,-0.6534514784413591,-0.735041756956628,-0.12847411631511374,-0.01766506515217795,-0.02045212018050011,-0.09443384017971139,0.1445154587528964,60,mixed,0,0,low,False,2019-03-20
SLOW_BLEED,-0.4006295898985011,-0.669015404580735,-0.07374475376776879,-0.010631879989546397,-0.019024629120478313,-0.04933637627765052,0.12314711025251485,60,mixed,0,0,low,False,2019-03-20
CRASH_2008,-1.4804560329420058,-5.42513408226639,-0.9796439178051982,-0.3762004118432275,-0.5002070801420939,-5.314699606969955,3.5899070885667768,60,mixed,0,0,low,False,2019-03-20
BASE,0.05649300879750973,0.14583890048149695,-0.05878995829884048,-0.012325552658423621,-0.027285585737709228,0.008573862877655953,0.15176856499868172,60,regime,0,2,mid,False,2019-06-12
REGIME_VOL,0.056493008797509445,0.14569073191516055,-0.05148526696083566,-0.010783128038008736,-0.02387105655669752,0.007500926226371581,0.13277618569153407,60,regime,0,2,mid,False,2019-06-12
VOL_SCALE_1.8x,0.056493008797509785,0.14684867929883497,-0.10509425929786465,-0.02218599478516252,-0.04911405432787661,0.01543295317978073,0.27318341699762705,60,regime,0,2,mid,False,2019-06-12
NEG_SHOCK_-10%,-1.6658820066264557,-3.177756102409737,-0.12947064653903229,-0.02612773819522878,-0.05059125212101464,-0.41142613712234394,0.24697195568821514,60,regime,0,2,mid,False,2019-06-12
CORR_INFLATE_1.3,0.10350221398579959,0.26272423322759997,-0.052309043899604,-0.010800436081027957,-0.023802034958659842,0.013742853449392326,0.13277835246382105,60,regime,0,2,mid,False,2019-06-12
WHIPSAW,-1.1720608693903243,-1.499189273275931,-0.13590616623542628,-0.023188230971032283,-0.027285585737709228,-0.20374906659220662,0.17383829791893968,60,regime,0,2,mid,False,2019-06-12
SLOW_BLEED,-1.0257578605794717,-2.006142749571261,-0.07908290809517504,-0.01332969445070569,-0.028694884779734142,-0.1586516026901458,0.1546676937971699,60,regime,0,2,mid,False,2019-06-12
CRASH_2008,-1.591178441170312,-5.724358427062329,-0.9797336569828494,-0.3705059060824727,-0.49662557813230873,-5.608346615626368,3.5246497001941703,60,regime,0,2,mid,False,2019-06-12
BASE,0.7471399011604436,2.193177464013401,-0.04184604642374512,-0.01022451640783693,-0.021695954600124693,0.09177580597461636,0.12283617275970928,60,mixed,0,2,mid,False,2019-06-12
REGIME_VOL,0.7471399011604438,2.189605871665145,-0.03666913105979641,-0.008945016309437235,-0.018980914109362975,0.08029094467738897,0.1074644046619416,60,mixed,0,2,mid,False,2019-06-12
VOL_SCALE_1.8x,0.7471399011604445,2.2161781265260827,-0.07454114305029236,-0.018404129534106476,-0.03905271828022445,0.16519645075430964,0.2211051109674767,60,mixed,0,2,mid,False,2019-06-12
NEG_SHOCK_-10%,-1.4248837455694556,-2.747211865542529,-0.11947538453156936,-0.019888430380559586,-0.046984171943485024,-0.32822419402538366,0.23035156029112305,60,mixed,0,2,mid,False,2019-06-12
CORR_INFLATE_1.3,0.7034128345000784,1.9905323037331266,-0.0390570642805228,-0.009184254349807425,-0.01950231869897943,0.07774434813936186,0.11052449475792611,60,mixed,0,2,mid,False,2019-06-12
WHIPSAW,-0.8107337153085652,-0.9822000133042375,-0.12273174695825073,-0.019888430380559586,-0.02324521914526408,-0.12054712349524617,0.14868892364907502,60,mixed,0,2,mid,False,2019-06-12
SLOW_BLEED,-0.598368794983796,-1.2802962269716638,-0.058931408219213055,-0.011228658200118997,-0.023105253642149607,-0.07544965959318536,0.12609223646969855,60,mixed,0,2,mid,False,2019-06-12
CRASH_2008,-1.5461842560833634,-5.593849986979397,-0.9793227707056199,-0.36860374656782346,-0.49779205288662504,-5.478184668160259,3.543034826933912,60,mixed,0,2,mid,False,2019-06-12
BASE,0.5095736135393398,1.259806211959708,-0.01612926207837717,-0.004740063574348429,-0.006031051765571195,0.02031974456066571,0.039875974777287,60,regime,0,3,high,False,2019-09-04
REGIME_VOL,0.5095736135393398,1.266077546933537,-0.031098350361123517,-0.009184670517342518,-0.011686177299303978,0.03937292313889094,0.07726640880287906,60,regime,0,3,high,False,2019-09-04
VOL_SCALE_1.8x,0.5095736135393396,1.265154045695553,-0.028909950004617713,-0.008532114433827172,-0.010855893178028151,0.03657554020919827,0.07177675459911662,60,regime,0,3,high,False,2019-09-04
NEG_SHOCK_-10%,-1.938161578797245,-3.545778441219933,-0.1127200308944919,-0.005235471419008457,-0.03746037523191944,-0.39968025543933416,0.20621616887450722,60,regime,0,3,high,False,2019-09-04
CORR_INFLATE_1.3,1.6694491342682451,4.598908324765635,-0.012780129783531158,-0.00413491071264297,-0.005070381740494455,0.058774645253066665,0.03520601140017892,60,regime,0,3,high,False,2019-09-04
WHIPSAW,-2.2670794365742766,-1.991850669982595,-0.09639436720970385,-0.014000330871378475,-0.016892473054146675,-0.1920031849091969,0.08469186470118922,60,regime,0,3,high,False,2019-09-04
SLOW_BLEED,-3.2318726794401815,-3.3844374359013636,-0.043406245141007105,-0.005286839137188796,-0.0075339530084223595,-0.14690572100713611,0.04545529344076229,60,regime,0,3,high,False,2019-09-04
CRASH_2008,-1.5098669055907692,-5.5495201735252175,-0.9787564988109683,-0.37437323860963073,-0.49759683737412636,-5.431628935120379,3.597422339020758,60,regime,0,3,high,False,2019-09-04
BASE,2.353412870526836,9.146081703459949,-0.013402201754407206,-0.006321191717654714,-0.006809295835937021,0.12257763225206257,0.052085052218067585,60,mixed,0,3,high,False,2019-09-04
REGIME_VOL,2.353412870526838,9.18060018976319,-0.02587137842568965,-0.012248372261883354,-0.013194156096691353,0.23751478168432172,0.10092355007438683,60,mixed,0,3,high,False,2019-09-04
VOL_SCALE_1.8x,2.353412870526837,9.175520148461368,-0.024046564607098753,-0.011378145091778483,-0.012256732504686637,0.22063973805371265,0.09375309399252163,60,mixed,0,3,high,False,2019-09-04
NEG_SHOCK_-10%,-1.4451354185355896,-2.6871633960788213,-0.11068265077663086,-0.006497018354913335,-0.037161518539172995,-0.29742236774793757,0.2058093407255404,60,mixed,0,3,high,False,2019-09-04
CORR_INFLATE_1.3,2.796289033469042,9.968515766503938,-0.013786862766836272,-0.006092001019317166,-0.006537637634339975,0.13743455886183348,0.04914891029391688,60,mixed,0,3,high,False,2019-09-04
WHIPSAW,-0.9263238800335585,-0.9568899114719511,-0.09378852900617163,-0.014635907178884107,-0.019529124380851415,-0.08974529721780009,0.09688328148740895,60,mixed,0,3,high,False,2019-09-04
